frame.len,ip.hdr_len,ip.len,ip.ttl,ip.proto,tcp.len,tcp.seq,tcp.ack,tcp.hdr_len,tcp.options.timestamp.tsval,tcp.options.timestamp.tsecr,tcp.analysis.bytes_in_flight,tcp.analysis.push_bytes_sent,tcp.time_delta,udp.length,udp.stream,icmp.type,icmp.seq,icmp.seq_le,icmp.resp_to,data.len,arp.hw.size,arp.proto.size,Status
4410,20,4396,64,6,4344,488274,1,32,1986182479,450367887,40544,136112,0,0,0,0,0,0,0,0,0,0,0
5858,20,5844,64,6,5792,492618,1,32,1986182479,450367887,46336,141904,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,454970,32,450367918,1986182477,0,0,0,0,0,0,0,0,0,0,0,0,0
5858,20,5844,64,6,5792,498410,1,32,1986182479,450367887,49232,147696,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,504202,1,32,1986182479,450367887,53576,152040,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,508546,1,32,1986182479,450367887,57920,156384,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,512890,1,32,1986182479,450367887,59368,157832,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,514338,1,32,1986182480,450367887,60816,159280,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,515786,1,32,1986182480,450367887,63712,2896,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,518682,1,32,1986182480,450367887,66608,5792,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,521578,1,32,1986182482,450367918,69504,8688,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,463658,32,450367924,1986182477,0,0,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,524474,32,450367924,1986182477,0,0,0,0,0,0,0,0,0,0,0,0,0
7306,20,7292,64,6,7240,524474,1,32,1986182488,450367924,7240,15928,0,0,0,0,0,0,0,0,0,0,0
10202,20,10188,64,6,10136,531714,1,32,1986182490,450367924,17376,26064,0,0,0,0,0,0,0,0,0,0,0
8754,20,8740,64,6,8688,541850,1,32,1986182490,450367924,26064,34752,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,550538,1,32,1986182490,450367924,30408,39096,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,554882,1,32,1986182490,450367924,34752,43440,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,559226,1,32,1986182490,450367924,37648,46336,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,562122,1,32,1986182491,450367924,40544,49232,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,565018,1,32,1986182491,450367924,44888,53576,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,569362,1,32,1986182491,450367924,49232,57920,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,573706,1,32,1986182491,450367924,50680,59368,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,575154,1,32,1986182492,450367924,55024,63712,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,579498,1,32,1986182492,450367924,59368,68056,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,583842,1,32,1986182492,450367924,63712,72400,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,588186,1,32,1986182492,450367924,68056,76744,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,592530,1,32,1986182492,450367924,69504,78192,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,527370,32,450367930,1986182488,0,0,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,530266,32,450367935,1986182488,0,0,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,593978,1,32,1986182497,450367930,66608,81088,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,593978,32,450367936,1986182488,0,0,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,596874,32,450367938,1986182497,0,0,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,596874,1,32,1986182499,450367935,2896,83984,0,0,0,0,0,0,0,0,0,0,0
10202,20,10188,64,6,10136,599770,1,32,1986182500,450367936,13032,94120,0,0,0,0,0,0,0,0,0,0,0
8754,20,8740,64,6,8688,609906,1,32,1986182500,450367936,21720,102808,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,618594,1,32,1986182500,450367936,26064,107152,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,599770,32,450367940,1986182499,0,0,0,0,0,0,0,0,0,0,0,0,0
